epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.25732,2.42665,6.30859,1.30988,0.00084,0.45833,0.00095,0.00027,2.63316,4.72386,1.37283,0.00010002,0.00010002,0.00010002
2,8.6724,1.79353,4.91405,1.07908,0.00238,1,0.00261,0.00129,1.61893,4.20339,1.04074,0.000214028,0.000214028,0.000214028
3,11.1628,1.59838,3.86882,1.06719,0.00241,1,0.00317,0.00175,1.27108,4.12533,0.94149,0.000325148,0.000325148,0.000325148
4,13.5318,1.70094,3.5863,1.10682,0.00239,1,0.00371,0.00188,1.29721,4.13768,0.98487,0.00043338,0.00043338,0.00043338
5,15.8062,1.59586,2.98086,1.12339,0.00236,1,0.00357,0.00142,1.38383,3.92366,1.05029,0.000538724,0.000538724,0.000538724
6,18.1012,1.58148,2.83843,1.13213,0.00237,1,0.00327,0.00173,1.27905,3.77305,0.9969,0.00064118,0.00064118,0.00064118
7,20.3761,1.70287,2.52763,1.20211,0.0024,1,0.00272,0.00156,1.38691,3.59685,1.02498,0.000740748,0.000740748,0.000740748
8,22.5608,1.57343,2.43549,1.14296,0.0024,1,0.04571,0.02286,1.57138,3.48284,1.13681,0.000837428,0.000837428,0.000837428
9,24.7698,1.52637,2.05762,1.11606,0.00185,0.8,0.53374,0.32388,1.37559,3.24642,1.11549,0.00093122,0.00093122,0.00093122
10,27.0344,1.50888,1.96658,1.11817,0.00153,0.66667,0.49764,0.30282,1.31688,3.15774,1.11068,0.00102212,0.00102212,0.00102212
11,29.2452,1.53261,2.1979,1.15656,0.00202,0.86667,0.53532,0.22024,1.60725,3.03608,1.2232,0.00111014,0.00111014,0.00111014
12,31.4213,1.47681,1.96685,1.12572,0.00236,1,0.7069,0.36396,1.48667,2.64744,1.18096,0.00119527,0.00119527,0.00119527
13,33.6025,1.43914,1.85746,1.06838,0.48456,1,0.94584,0.49196,1.52866,2.6543,1.19729,0.00127751,0.00127751,0.00127751
14,35.8168,1.48548,2.0893,1.13259,1,0.60193,0.995,0.56533,1.57892,2.11541,1.204,0.00135686,0.00135686,0.00135686
15,37.934,1.43441,1.63055,1.08731,0.99083,1,0.995,0.60919,1.49436,1.78383,1.19434,0.00137819,0.00137819,0.00137819
16,40.108,1.50071,1.78339,1.09573,0.97982,0.94805,0.995,0.59774,1.51629,1.74218,1.20454,0.00135756,0.00135756,0.00135756
17,41.4794,1.43809,1.66965,1.06937,0.93272,1,0.995,0.56525,1.58841,1.49379,1.2353,0.00133693,0.00133693,0.00133693
18,43.6223,1.45277,1.57002,1.07144,0.93379,0.99182,0.97771,0.5925,1.44253,1.3214,1.20118,0.0013163,0.0013163,0.0013163
19,45.7692,1.4354,1.56656,1.09819,0.98283,1,0.995,0.63992,1.41421,1.13859,1.17833,0.00129568,0.00129568,0.00129568
20,47.9176,1.41071,1.44862,1.07386,0.99148,1,0.995,0.6414,1.38637,1.1036,1.17833,0.00127505,0.00127505,0.00127505
21,50.1776,1.47284,1.71752,1.11943,0.97066,1,0.995,0.63031,1.43397,1.06841,1.21761,0.00125442,0.00125442,0.00125442
22,52.461,1.45376,1.47029,1.07184,0.98356,1,0.995,0.63261,1.40845,0.97949,1.18403,0.00123379,0.00123379,0.00123379
23,54.79,1.4261,1.43002,1.06635,0.98738,1,0.995,0.63603,1.38582,0.9443,1.16793,0.00121316,0.00121316,0.00121316
24,56.8715,1.48089,1.37381,1.09323,0.99086,1,0.995,0.65866,1.38202,0.92722,1.12631,0.00119253,0.00119253,0.00119253
25,58.993,1.50992,1.38179,1.0811,0.98426,1,0.995,0.64428,1.3453,0.93793,1.10893,0.0011719,0.0011719,0.0011719
26,61.1558,1.42646,1.35619,1.12724,0.99204,1,0.995,0.64796,1.36629,0.83539,1.12558,0.00115127,0.00115127,0.00115127
27,63.3679,1.36961,1.23294,1.06227,0.98892,1,0.995,0.62653,1.35629,0.83251,1.08454,0.00113064,0.00113064,0.00113064
28,65.5368,1.40713,1.24148,1.06565,0.99098,1,0.995,0.62938,1.38969,0.77178,1.13255,0.00111001,0.00111001,0.00111001
29,67.618,1.44954,1.21652,1.08507,0.98765,1,0.995,0.65313,1.39274,0.7586,1.1274,0.00108938,0.00108938,0.00108938
